,2019 PRICE VAR [%]
INTC,30.295513769487663
MU,64.21373673067748
AAPL,88.74246462864862
MSFT,58.25926290883441
HPQ,3.016788856333025
AMD,143.54753476454374
SNAP,182.03799708626966
FB,51.275067128329034
ORCL,19.15855039035172
JD,65.63234031044497
NOK,-34.002130984551
TWTR,11.246094519884723
AVGO,29.443615891074458
AMAT,85.65883117085035
ZNGA,53.76884060879406
QCOM,59.39173175453348
CSCO,14.819570082879046
GRPN,-26.687113132029555
CRM,19.985242145326033
ATVI,27.359806959485987
SQ,9.37063031269113
FLEX,59.94930417128571
XRX,88.73627864997576
CVLT,-22.28412176721168
NVDA,73.40989975467198
WDC,71.16930169570263
ON,45.29200335593318
INFY,10.835053783859383
MFGP,9.339455808907175
MRVL,62.62733317637122
HPE,21.45070451335486
TXN,39.63731490726845
GDDY,8.118431230335212
BOX,-8.705106350257093
AMZN,20.057432442882224
ENTG,70.2230902686627
CLDR,3.3777787950303817
JBL,68.69328090971952
ACN,51.66534508197397
ADSK,42.261164052916854
BIDU,-22.09553064660776
IBM,21.924245769006482
IT,22.447364300289337
SYMC,32.4708258968571
ATHM,4.889883870771577
MOMO,37.00604893360682
GLW,0.06918020311874137
STX,60.10780630832785
ADBE,46.86288765286307
CY,85.40692845456597
TSM,66.59481370130715
ZAYO,51.84049951472102
ALTR,34.19282339412971
NCR,47.669049290423835
PSTG,4.26569634033144
VMW,11.479134256496023
LRCX,115.95541493153067
NXPI,71.62702612101664
YNDX,58.087972797645016
GOOGL,26.994912811305728
CGNX,45.83708294662473
FSLR,31.484956012221733
MX,74.58645849892669
FTV,13.849073814129712
BKI,43.416380493660526
CTSH,-0.46049242089132164
CTXS,10.032065184068237
SABR,7.760134195681396
WIT,-26.425832089137874
NTNX,-25.464946942143484
HQY,25.308744594823786
SE,263.98190521685734
GRUB,-35.54200903819378
NTCT,1.7328818683697265
TTWO,17.70983346853423
KLAC,100.80146559605103
GOOG,27.84051735357019
PAYC,121.1863128786095
QRVO,89.98039028630181
DOX,26.22116204428091
NUAN,53.34065530107649
TEL,30.03584646421818
EA,33.768817297698355
GPRO,-0.45871514481795594
BW,-21.041214761760887
INXN,60.03436942513888
INFO,58.899201568225166
YY,-14.329760093177171
NOW,58.32211514600757
CERN,42.56522505614983
AKAM,46.38196866698985
CDNS,60.44413912747293
MDRX,0.40899757612646925
LPL,-14.320990982950892
NTAP,6.238979253506234
VIAV,51.05739717028608
LOGM,6.627742270871023
BB,-9.704641972761802
RUN,25.774143855783592
YELP,0.7521033801727108
VSH,22.631822904495735
TER,116.44579241081159
TWLO,13.004481315220929
TRUE,-48.48156331419813
JNPR,-5.588853219957016
MCHP,49.20830522377887
KLIC,36.87042881729627
TEAM,35.16791866549436
PFPT,38.32248027946863
PLUG,137.59398374935432
HIMX,-23.78223270596001
INTU,35.75485199889883
XLNX,14.145655344121089
MTSI,78.88366231463236
