,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Receivables,Total current assets,"Property, Plant & Equipment Net",Total non-current assets,Total assets,Payables,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,priceSalesRatio,ebitperRevenue,grossProfitMargin,pretaxProfitMargin,netProfitMargin,returnOnAssets,returnOnEquity,eBITperRevenue,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfInventoryOutstanding,daysOfPayablesOutstanding,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,operatingCashFlowSalesRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Price to Sales Ratio,Earnings Yield,Current ratio,Income Quality,SG&A to Revenue,Capex to Revenue,Capex to Depreciation,Return on Tangible Assets,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Days Sales Outstanding,Days Payables Outstanding,Receivables Turnover,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Free Cash Flow growth,Receivables growth,Asset Growth,Book Value per Share Growth,SG&A Expenses Growth,class
INTC,70848000000.0,0.1289,27111000000.0,43737000000.0,6750000000.0,20421000000.0,23316000000.0,23317000000.0,21053000000.0,21053000000.0,4.57,4.48,4564000000.0,4611000000.0,0.6173,0.456,0.3273,0.297,0.2011,32276000000.0,23191000000.0,21053000000.0,0.3291,0.2972,3019000000.0,11650000000.0,6722000000.0,28787000000.0,48976000000.0,99176000000.0,127963000000.0,3824000000.0,16626000000.0,53400000000.0,50172000000.0,74563000000.0,14709000000.0,3162000000.0,11541000000.0,9085000000.0,29432000000.0,-15181000000.0,-11239000000.0,-18607000000.0,-414000000.0,14251000000.0,3.0232,3.0166293402778,0.32733457542909,0.61733570460705,0.32909891598916,0.29715729448961,0.3444,0.2824,0.32733457542909,1.4465860829794,0.55366004235599,1.731,1.1050162396247,0.18158306267292,34.6309,19.7008,6.383,3.091,0.6547,0.41542457091238,15.365,4.5658,6.383,3.091,0.6547,16.171,19.869,16.1707,3.0232,0.0974,1.731,1.398,0.0953,0.2143,-1.671,0.3444,12161000000.0,91614000000.0,-24613000000.0,98328000000.0,6164500000.0,3376000000.0,34.6309,19.7008,11.4929,0.2824,-3.2923,0.1187,0.1203,0.2917,1.1928,1.2402,1.2513,-0.0191,-0.0277,0.3312,0.3793,0.1989,0.0382,0.1014,-0.0942,1
MU,30391000000.0,0.4955,12500000000.0,17891000000.0,813000000.0,2897000000.0,14994000000.0,14303000000.0,14135000000.0,14135000000.0,12.27,11.51,1159810627.0,1152000000.0,0.5887,0.638,0.4819,0.465,0.2804,19404000000.0,14645000000.0,14138000000.0,0.4706,0.4651,6506000000.0,6802000000.0,5478000000.0,16039000000.0,23672000000.0,27337000000.0,43376000000.0,4374000000.0,5754000000.0,10112000000.0,24395000000.0,32294000000.0,-2163000000.0,164000000.0,521000000.0,4759000000.0,17400000000.0,-8879000000.0,-8216000000.0,-7776000000.0,1371000000.0,8521000000.0,2.0135,1.9999183968938,0.48188608469613,0.58869402125629,0.49336974762265,0.46510480076338,0.4163,0.4377,0.48188608469613,1.2838374450828,0.70064090741424,2.787,2.1341675356274,1.1306916927355,65.7915,52.5323,15.1042,3.14,5.6476,0.57253792241124,26.3811,12.27,15.1042,3.14,5.6476,28.033,36.299,28.033,2.0135,0.2326,2.787,1.231,0.0268,0.2922,-1.8657,0.4163,10285000000.0,41817000000.0,5927000000.0,34196000000.0,4618500000.0,4019000000.0,65.7915,52.5323,6.5803,0.4377,-7.7075,1.1208,1.5233,1.5552,1.7776,1.6274,1.61,0.0579,0.065,1.1342,1.4922,0.4573,0.2275,0.6395,0.0942,1
AAPL,265595000000.0,0.1586,163756000000.0,101839000000.0,16705000000.0,30941000000.0,70898000000.0,72903000000.0,59531000000.0,59531000000.0,12.01,11.91,4829926000.0,4955377000.0,0.3834,0.316,0.2745,0.224,0.2414,83806000000.0,72903000000.0,59531000000.0,0.2745,0.2241,25913000000.0,66301000000.0,48995000000.0,131339000000.0,41304000000.0,234386000000.0,365725000000.0,55888000000.0,115929000000.0,258578000000.0,70400000000.0,107147000000.0,48182000000.0,12087000000.0,39293000000.0,10903000000.0,77434000000.0,-13313000000.0,16066000000.0,-87876000000.0,5624000000.0,64121000000.0,4.1328,4.1912065394209,0.27448935409176,0.38343718820008,0.26694026619477,0.22414202074587,1.0497,0.5556,0.27448935409176,6.4302488863064,0.72621505229339,1.133,0.99453976140569,0.22352474359306,67.3325,76.8054,15.6263,9.924,5.2293,0.29154916319961,53.5973,12.0134,15.6263,9.924,5.2293,21.622,73.804,21.6224,4.1328,0.0528,1.133,1.3007,0.0629,0.0501,-1.221,1.0497,15410000000.0,365725000000.0,-127239000000.0,338366000000.0,42334000000.0,50065000000.0,67.3325,76.8054,6.2738,0.5556,-2.6866,0.1548,0.1375,0.1557,0.2312,0.2956,0.2932,-0.0502,-0.0479,0.2057,0.2385,0.3734,-0.0256,-0.1584,0.0946,1
MSFT,110360000000.0,0.1428,38353000000.0,72007000000.0,22223000000.0,36949000000.0,35058000000.0,36474000000.0,16571000000.0,16571000000.0,2.15,2.13,7683197503.0,7700000000.0,0.6525,0.423,0.3305,0.15,0.2922,46735000000.0,36474000000.0,16571000000.0,0.3305,0.1502,133768000000.0,133768000000.0,26481000000.0,169662000000.0,36146000000.0,89186000000.0,258848000000.0,8617000000.0,58488000000.0,176130000000.0,13682000000.0,82718000000.0,-51960000000.0,6751000000.0,45873000000.0,10261000000.0,43884000000.0,-11632000000.0,-6061000000.0,-33590000000.0,4283000000.0,32252000000.0,6.9626,6.8663612722001,0.33050018122508,0.65247372236318,0.31766944545125,0.15015404131932,0.1125,0.2003,0.33050018122508,3.0531732418525,0.42635059957968,2.901,2.7398611681029,2.2871016276843,87.5821,28.4995,5.6992,4.051,17.3725,0.39764407393983,14.3325,2.1521,5.6992,4.051,17.3725,10.743,27.937,10.7426,6.9626,0.0215,2.901,2.6482,0.2014,0.1054,-1.1336,0.1125,111174000000.0,215112000000.0,-6468000000.0,104664000000.0,24456000000.0,8003500000.0,87.5821,28.4995,4.5126,0.2003,-1.5106,0.1556,0.2198,0.2079,-0.3499,-0.3465,-0.3446,-0.0059,-0.0049,0.1108,0.0279,0.1806,0.0341,-0.0512,0.1144,1
HPQ,58472000000.0,0.1233,47803000000.0,10669000000.0,4859000000.0,6605000000.0,4064000000.0,3013000000.0,5327000000.0,5327000000.0,3.3,3.26,1582408508.0,1615000000.0,0.1825,0.079,0.0695,0.091,0.071,4592000000.0,4064000000.0,5327000000.0,0.0515,0.0911,5166000000.0,5166000000.0,5113000000.0,21387000000.0,2198000000.0,13235000000.0,34622000000.0,14816000000.0,25131000000.0,35261000000.0,-473000000.0,-639000000.0,821000000.0,5046000000.0,8852000000.0,528000000.0,4528000000.0,-374000000.0,-716000000.0,-5643000000.0,-1831000000.0,4154000000.0,0.6533,0.65115114071692,0.069503352031742,0.18246340128609,0.069503352031742,0.091103434122315,-3.4457,-8.3365,0.069503352031742,26.602365787079,1.6888683496043,0.851,0.40901675221838,0.20556285066253,31.9169,92.486,2.8037,2.5721,3.1988,0.077438774114106,36.2056,3.2985,2.8037,2.5721,3.1988,-0.396,17.742,-0.3957,0.6533,0.1367,0.851,0.85,0.0831,0.0064,-0.7083,-3.4457,-3744000000.0,28654000000.0,-13874000000.0,4344000000.0,4763500000.0,14047500000.0,31.9169,92.486,12.275,-8.3365,-0.2316,0.1139,0.1549,0.1549,1.1089,1.2,1.2027,-0.0432,-0.04,0.2314,0.2422,0.1584,0.0519,0.8039,0.1104,1
AMD,6475000000.0,0.2326,4028000000.0,2447000000.0,562000000.0,1996000000.0,451000000.0,328000000.0,337000000.0,337000000.0,0.34,0.32,999407216.0,982000000.0,0.3779,0.096,0.0693,0.052,-0.0199,619000000.0,449000000.0,337000000.0,0.0507,0.052,1078000000.0,1156000000.0,1235000000.0,3540000000.0,348000000.0,1016000000.0,4556000000.0,1041000000.0,1984000000.0,3290000000.0,-7436000000.0,1266000000.0,94000000.0,304000000.0,807000000.0,170000000.0,34000000.0,-163000000.0,-170000000.0,28000000.0,-108000000.0,-129000000.0,2.8493,2.7996478764479,0.069343629343629,0.37791505791506,0.06965250965251,0.052046332046332,0.177,0.2662,0.069343629343629,18.60632183908,1.421202809482,1.784,1.2051411290323,0.54334677419355,69.6178,58.6819,0.0346,-0.131,1.0978,0.0052509652509653,6.5937,0.3432,0.0346,-0.131,1.0978,1.289,4.345,1.2892,2.8493,0.0184,1.784,0.1009,0.0868,0.0252,-0.9588,0.177,1556000000.0,4267000000.0,250000000.0,2455000000.0,844500000.0,918500000.0,69.6178,58.6819,7.6673,0.2662,-0.166,0.3693,3.045,2.5512,11.2121,12.3333,11.6667,0.0315,0.1176,1.8333,-0.2772,1.7203,0.2827,1.0591,0.0891,1
SNAP,1180446000.0,0.4309,798865000.0,381581000.0,877846000.0,1650031000.0,-1268450000.0,-1253364000.0,-1255911000.0,-1255911000.0,-0.97,-0.97,1294919016.0,1300568000.0,0.3233,-0.981,-1.0585,-1.064,-0.6768,-1157822000.0,-1249470000.0,-1255911000.0,-1.0618,-1.0639,387149000.0,1279063000.0,354965000.0,1675928000.0,212560000.0,1038178000.0,2714106000.0,30876000.0,292691000.0,403107000.0,-5912578000.0,2310999000.0,-1279063000.0,41900000.0,261815000.0,91648000.0,-689924000.0,-108966000.0,694454000.0,47437000.0,51967000.0,-798890000.0,6.0443,6.0706967366572,-1.0584728145125,0.32325155068508,-1.0745514830835,-1.0639292267499,-0.787,-0.5434,-1.0584728145125,5.5534719608581,0.43492995483596,5.726,5.582775008456,1.322722598235,109.757,9.547,-0.5305,-0.614,0.2977,-0.58446044969444,0.9076,-0.9657,-0.5305,-0.614,0.2977,1.777,1.504,1.7769,6.0443,-0.176,5.726,0.5493,0.7437,0.0923,-1.189,-0.787,1383237000.0,1955682000.0,1272821000.0,1275842000.0,317219000.0,51035000.0,109.757,9.547,3.7212,-0.5434,-0.0838,2.55,0.6389,0.6361,0.6354,0.6712,0.6712,0.1153,0.1153,0.0609,0.0248,0.2701,-0.2068,-0.3075,-0.5735,1
FB,55838000000.0,0.3735,9355000000.0,46483000000.0,11297000000.0,21570000000.0,24913000000.0,25361000000.0,22112000000.0,22111000000.0,7.65,7.57,2873787612.0,2890000000.0,0.8325,0.531,0.4542,0.396,0.2751,29676000000.0,25361000000.0,22112000000.0,0.4542,0.396,10019000000.0,41114000000.0,7587000000.0,50480000000.0,24683000000.0,46854000000.0,97334000000.0,1361000000.0,7017000000.0,13207000000.0,41981000000.0,84127000000.0,-41114000000.0,1779000000.0,5656000000.0,4315000000.0,29274000000.0,-13915000000.0,-11603000000.0,-15572000000.0,1920000000.0,15359000000.0,6.7467,6.7848078369569,0.45418890361403,0.83246176438984,0.44616569361367,0.39600272216054,0.3245,0.2628,0.45418890361403,2.26220475631,0.57367415291676,7.194,6.9404303833547,1.4278181559071,49.5945,8.8965,10.1294,5.315,3.4668,0.5242666284609,19.3211,7.6512,10.1294,5.315,3.4668,29.11,26.899,29.1097,6.7467,0.0584,7.194,1.324,0.2023,0.2492,-3.2248,0.3245,43463000000.0,77739000000.0,37273000000.0,60703000000.0,6709500000.0,1065500000.0,49.5945,8.8965,8.3222,0.2628,-4.8149,0.3206,0.2315,0.2331,0.3889,0.3934,0.4045,-0.0038,-0.0118,0.2089,-0.1215,0.3009,0.1516,0.1359,0.5599,1
ORCL,39383000000.0,0.0421,8060000000.0,31323000000.0,9715000000.0,18059000000.0,13264000000.0,12424000000.0,3587000000.0,3587000000.0,0.87,0.85,4082313000.0,4121000000.0,0.7953,0.438,0.3669,0.091,0.3466,17234000000.0,14449000000.0,3587000000.0,0.3155,0.0911,21620000000.0,67261000000.0,5136000000.0,76159000000.0,5897000000.0,61692000000.0,137851000000.0,529000000.0,19124000000.0,90978000000.0,19111000000.0,46372000000.0,-6642000000.0,3762000000.0,14104000000.0,2785000000.0,15386000000.0,-1736000000.0,-5625000000.0,-9982000000.0,-164000000.0,13650000000.0,4.8428,4.8094412868497,0.3668841886093,0.79534316837214,0.33679506386004,0.091079907574334,0.057,0.0774,0.3668841886093,6.6784805833475,0.28569252308652,3.982,3.7856619953985,1.1305166283204,47.6002,4.9027,3.7336,2.942,5.2463,0.3906761800777,9.5567,0.8704,3.7336,2.942,5.2463,11.253,21.215,11.2526,4.8428,0.0186,3.982,4.2894,0.2467,0.0441,-0.6233,0.057,57035000000.0,87426000000.0,-14819000000.0,107301000000.0,5218000000.0,564000000.0,47.6002,4.9027,7.5475,0.0774,-0.4213,0.0324,0.072,0.0272,-0.6205,-0.6217,-0.6205,0.0015,0.005,0.0892,0.1276,-0.0309,0.0212,-0.1403,0.0495,1
JD,66862483212.7352,0.2209,57317818523.8784,9544664688.8567,8162961505.0651,9923699565.8466,-379034876.9899,-298807670.0434,-360583646.8886,-360583646.8886,-0.2518,-0.2518,425283487.5543,416483745.0072,0.1428,0.0013,-0.0026,-0.0007,-0.0008,629495079.5948,-175140810.4197,-405289435.6006,-0.0045,-0.0054,5427215340.0868,6114921562.9522,2405146454.4139,15174497684.5152,3999500723.589,15095380318.3792,30269878002.8944,11606459044.8625,17490884949.3488,19151478002.8944,-3478738205.4993,8649923733.7192,-3636417657.2759,350995079.5948,5226693053.5456,804635890.0145,3021913458.7554,-3073617510.8538,-3774094356.0058,1623723299.5658,1114836613.6035,-51704052.0984,0.1331,0.13037213642314,-0.0026194182747066,0.14275067616751,-0.0056688722700282,-0.0053929143753357,0.03,-0.0417,-0.0026194182747066,16.717707492433,2.208878516337,0.1256,0.48711474816964,0.31028820758945,13.1296,63.3593,100.2179,4.736,179.9867,0.045195950158486,2217.4094,-11.9583,100.2179,4.736,179.9867,6.0113,18.8103,286.8637,0.1331,-0.012,0.1256,-8.3806,0.1221,0.046,-3.8199,0.03,-16006236000.0,27067123589.0014,-3976980318.3792,6235784081.042,3427972411.0038,11425361475.2729,13.1296,63.3593,19.505,-0.0417,-101.9326,0.2427,-2.2183,-2.0015,-14.6684,-15.6755,-15.6755,-0.0314,-0.0536,-0.2556,-1.0221,-0.4596,0.0881,0.0871,0.2002,1
